Fullstate,State,Type,Bill Number,Year,Elected,MoreDefined,Description,Last Action,curbing,RichardLastAction,Richard Description,Date Signed,Unsure,Very interesting,Notes,election,judicial,governor,lower,upper,less,more,outside,how_much_less,how_much_more,distance_closest_branch
Alabama,AL,Other,HB 166 (Constitutional Amendment),2017,Elected,Partisan,"Requires Judicial Inquiry Commission file complaint for judicial discipline against appellate judge with House Judiciary Committee, not Court of the Judiciary. Provides House Judiciary Committee may keep complaint or refer it to judiciary. Provides Court of the Judiciary not to hear case, but instead Court of Civil Appeals or Court of Criminal Appeals.",In House Judiciary Committee.,1,Introduced,Punishment of judges,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 17,2012,Elected,Partisan,Allows a judge or other public servant to request to remove a false instrument that has been filed against the public servant to be removed to circuit court and be expedited.,Governor's amendments to bill approved by House and Senate 4/12/12. To Governor for approval.,0,Enacted,Individual judge power,2012-04-12T00:00:00Z,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 17 (Constitutional Amendment),2009,Elected,Partisan,"Requires Supreme Court Associate Justices, Appellate, Circuit, and District Judges be elected by districts",Died when legislature adjourned 5/15/09.,1,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Rule Making Authority,HB 199,2011,Elected,Partisan,Authorizes presiding circuit judge to conduct certain hearings by audio-video telecommunications.,Approved by Senate Judiciary Committee 6/1/11.,0,Introduced,,,,,,AL2011,0.758027863,0.187,0.302,0.3,0,1,1,0,0.456027863,0.456027863
Alabama,AL,Jurisdiction,HB 201,2012,Elected,Partisan,"Grants circuit court exclusive jurisdiction in cases over $25,000 (currently $10,000). Grants district court concurrent jurisdiction with circuit court in cases up to $25,000 (currently $10,000). Increases small claims to $5,000 (from $3,000).",In House Judiciary Committee.,1,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 202,2012,Elected,Partisan,Provides for the nonpartisan election of candidates for state attorney general and state appellate judicial office.,"In House Constitution, Campaigns and Elections Committee.",0,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 220,2013,Elected,Partisan,"Declares ""The Legislature finds... All federal acts, laws, orders, rules, or regulations regarding firearms are a violation of the Second Amendment as determined by the Alabama state courts...""",In House Public Safety and Homeland Security Committee.,0,Introduced,Declaration by legislature,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 232,2015,Elected,Partisan,"Increases small claims jurisdiction to $6,000.",Approved by full Senate 5/19/2015. Transmitted to governor 5/21/2015.,1,Passed Legislature,,,,,,AL2015,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 248,2012,Elected,Partisan,"Grants circuit court exclusive jurisdiction in cases over $20,000 (currently $10,000). Grants district court concurrent jurisdiction with circuit court in cases up to $20,000 (currently $10,000). Increases small claims to $5,000 (from $3,000). Increases fine for contempt to $500 (from $100).",In House Judiciary Committee.,1,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 262,2014,Elected,Partisan,"Increases small claims jurisdiction to $6,000 (from $3,000).",In House Judiciary Committee.,1,Introduced,,,,,,AL2014,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Qualification & Terms,HB 265,2012,Elected,Partisan,"Requires all probate judges be attorneys (currently, only probate judges in 2 counties must be attorneys).",In House Judiciary Committee.,1,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 28,2008,Elected,Partisan,"Recodifies Alabama Juvenile Justice Act, including provisions on judges named as juvenile and family court judges, jurisdiction of juvenile and family courts, etc. In House Judiciary committee",Approved by full House,0,Passed one chamber,,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Selection,HB 28 (Constitutional Amendment),2010,Elected,Partisan,"Requires in counties in which a Class 2 municipality is located, that Circuit and District Judges, be elected by district.",Prefiled.,1,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Jurisdiction,HB 29,2008,Elected,Partisan,"Recodifies Alabama Juvenile Justice Act, including provisions on judges named as juvenile and family court judges, jurisdiction of juvenile and family courts, etc. (Note: differs from HB 28).",In House Judiciary committee,0,Introduced,,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Qualification & Terms,HB 293,2014,Elected,Partisan,Authorizes a person who previously served as an appellate court judge to act as a private judge on a trial court. Allows a person who is serving as a private judge to be called to active duty status or accept appointment as a special or senior judge while also serving as a private judge.,Approved as amended by House Judiciary Committee 2/6/14.,0,Introduced,,,,,,AL2014,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Jurisdiction,HB 297,2013,Elected,Partisan,"Grants circuit court current jurisdiction with district court in cases from $6,000 - $10,000. Increases small claims to $6,000 (from $3,000).",In House Judiciary Committee,1,Introduced,,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 311 (Constitutional Amendment),2012,Elected,Partisan,"Permits recall of all elected officials, including judges.","In House Constitution, Campaigns and Elections Committee.",1,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Salary & Budget,HB 325,2017,Elected,Partisan,Allows for use of Circuit Clerk's Judicial Administration Fund for merit and promotion raises.,See SB 238.,0,Introduced,,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 329,2013,Elected,Partisan,"Extends existing law regarding disclosure of personal information of select state government employee to all state and local government employees of the criminal justice sector, including judges.",Approved by House Public Safety and Homeland Security Committee 3/20/13.,1,Introduced,Disclosure,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 33,2008,Elected,Partisan,Requires mandatory ethics training for various officials including state constitutional officers. In House Government Operations committee,"In Senate Constitution, Campaign Finance, Ethics and Elections Committees",0,Introduced,Mandatory training,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Other,HB 331,2017,Elected,Partisan,Requires Chief Justice recompile state's constitution every 10 years.,"In House Constitution, Campaigns, and Elections Committee.",1,Introduced,,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Salary & Budget,HB 332,2013,Elected,Partisan,"Provides all court costs and docket fees must revert to General Fund. Prohibits courts from waiving, setting aside, or otherwise failing to collect any court cost or docket fee.",In House Judiciary Committee.,1,Introduced,,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 340,2011,Elected,Partisan,Provides for nonpartisan election of circuit and district judges.,"In House Constitution, Campaigns and Elections Committee.",0,Introduced,,,,,,AL2011,0.758027863,0.187,0.302,0.3,0,1,1,0,0.456027863,0.456027863
Alabama,AL,Other,HB 341,2014,Elected,Partisan,Repeals requirement that supreme court rules be published by Secretary of State in Acts of Alabama.,In House Judiciary Committee.,1,Introduced,Promotion of cases,,,,,AL2014,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 346,2012,Elected,Partisan,Provides for nonpartisan elections for circuit and district judges.,"In House Constitution, Campaigns and Elections Committee.",0,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Structure Changes,HB 348,2010,Elected,Partisan,"Authorizes but does not require drug courts be established by the presiding judges of the judicial circuits. Requires Administrative Office of Courts assist in planning, developing, and implementing of drug courts.",Signed into law by Governor 4/22/10.,0,Enacted,,2010-04-22T00:00:00Z,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Selection,HB 393 (Constitutional Amendment),2009,Elected,Partisan,"Permits recall of all elected officials, including judges.",Died when legislature adjourned 5/15/09.,1,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Selection,HB 4 (Constitutional Amendment),2010,Elected,Partisan,"Requires Supreme Court, Court of Appeals, Circuit and District Judges be elected from districts.",Died in committee.,1,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Salary & Budget,HB 407,2015,Elected,Partisan,Allows judges to purchase additional retirement credits in the Judicial Retirement Fund of Alabama if they have the requisite years of creditable service. Provides employer contributions for judicial retirement for probate judges is a burden of the counties.,In House Ways & Means General Fund Committee.,0,Introduced,,,,,,AL2015,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 408,2016,Elected,Partisan,Requires judges give and post jury nullification instructions in courthouse or be arrested and impeached.,In House Judiciary Committee.,1,Introduced,Punishment of judges,,,,,AL2016,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 414,2017,Elected,Partisan,Amends law prohibiting carrying of firearms into courthouse annexes to define courthouse annex.,In House Public Safety & Homeland Security Committee.,1,Introduced,safety,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Salary & Budget,HB 414,2011,Elected,Partisan,"CONFERENCE COMMITTEE REPORT : Reduces employer contribution rates into the Judicial Retirement Fund (JRF). Provides for all pay dates beginning on or after October 1, 2011, the contribution to be paid by the justices and judges shall be eight and one-quarter percent (8.25%) of their salary. For all pay dates beginning on or after October 1, 2012, the rate of contribution to be paid by the justices and judges shall be eight and one-half percent (8.5%) of their salary.",Senate concurs with Conference Committee Report 6/9/11. To Governor for approval.,1,Passed Legislature,,,,,,AL2011,0.758027863,0.187,0.302,0.3,0,1,1,0,0.456027863,0.456027863
Alabama,AL,Jurisdiction,HB 42,2017,Elected,Partisan,"Increases District Court jurisdiction to $15,000.",In House Judiciary Committee.,1,Introduced,,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Qualification & Terms,HB 421,2009,Elected,Partisan,Requires mandatory education and mandatory continuing education for municipal court clerks and municipal magistrates who have become educationally certified under guidelines approved by the Administrative Director of Courts and the Administrative Office of Courts.,Signed into law by Governor 5/15/09.,0,Enacted,,2009-05-15T00:00:00Z,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Other,HB 423,2016,Elected,Partisan,Creates Innocence Inquiry Commission within Administrative Office of Courts,In House Judiciary Committee.,0,Introduced,Check on Courts power,,,,,AL2016,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Salary & Budget,HB 438,2015,Elected,Partisan,"ORIGINAL: Allows probate judges to purchase additional retirement credits in the Judicial Retirement Fund of Alabama if they have the requisite years of creditable service. AMENDED: Same, but changes length of creditable service to qualify from 120 months to 14 years.",Approved by full House as amended 5/26/2015.,0,Passed one chamber,,,,,,AL2015,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 443,2010,Elected,Partisan,"AMENDED: Creates judicial vacancy commissions for the filling of judicial office vacancies, except those judicial circuits having judicial vacancy commissions provided by local constitutional amendments to the Constitution. Provides that if a local constitutional amendment creating a judicial vacancy commission is repealed, the county would be subject to the statewide judicial vacancy process in this amendment. Increase the maximum age at which a person may be elected or appointed to a judicial office from 70 to 72.",Approved as amended by House Judiciary Committee 2/11/10. Postponed indefinitely on House floor 4/14/10.,1,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Selection,HB 444,2008,Elected,Partisan,Requires nonpartisan elections of candidates for state judicial office,In House Constitution and Elections committee,0,Introduced,,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Salary & Budget,HB 447,2015,Elected,Partisan,Provides probate court judges to receive salaries as a percentage of district court judges and adjusted for years of service. Repeals law giving probate judges 5 cents per name for preparation of voter lists.,In House Judiciary Committee.,1,Introduced,,,1,,,AL2015,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Salary & Budget,HB 46,2009,Elected,Partisan,Allows the spouse of a deceased justice or judge to retain their yearly benefit after remarriage.,Died when legislature adjourned 5/15/09.,0,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Selection,HB 46,2010,Elected,Partisan,"Provides for a $500 limitation on contributions for candidates for election to the Alabama Supreme Court, Alabama Court of Appeals, Alabama Court of Criminal Appeals, circuit courts, or district courts per election. Provides for increasing the allowed contribution amount based on the application of the consumer price index.",Died in committee.,1,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Other,HB 460,2017,Elected,Partisan,Grants magistrates and clerks of circuit and district courts absolute judicial immunity granted under certain conditions.,In House Judiciary Committee.,0,Introduced,Protection of judges,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Qualification & Terms,HB 464,2008,Elected,Partisan,"Requires a lawyer be admitted to the practice of law for a certain number of years before taking judicial office. Supreme Court, Court of Civil Appeals, and Court of Criminal Appeals: 10 years. Circuit Court: 5 years. District Court: 3 years.",In House Judiciary committee,1,Introduced,,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Salary & Budget,HB 479,2012,Elected,Partisan,Allows judges to purchase Judicial Retirement System credit for prior active military service.,In House State Government Committee.,0,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Salary & Budget,HB 49,2016,Elected,Partisan,"Provides that court costs and docket fees assessed by any authority other than the Constitution of Alabama of 1901, as amended, shall revert to the General Fund. Would provide that a court may not waive, set aside, or otherwise fail to collect any court costs or docket fees previously authorized and now subject to this act.",In House Judiciary Committee.,1,Introduced,,,,,,AL2016,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Salary & Budget,HB 496,2014,Elected,Partisan,Allows probate judges to purchase additional retirement credits in the Judicial Retirement Fund of Alabama if they have requisite years of creditable service. Requires counties to contribute to retirement.,In House State Government Committee.,0,Introduced,,,,,,AL2014,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 507,2013,Elected,Partisan,Eases requirement that appellate judges reside in Montgomery.,"In House Constitution, Campaigns and Elections Committee.",0,Introduced,Qualifications,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 520 (Constitutional Amendment),2012,Elected,Partisan,Bans officers of the court from serving in legislature.,In House Ethics and Campaign Finance Committee.,1,Introduced,Check on Courts power,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 532,2012,Elected,Partisan,"Provides than in counties in which a Class 2 municipality is located, circuit and district judges are to be elected by district.","In House Constitution, Campaigns and Elections Committee.",1,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Qualification & Terms,HB 537 (Constitutional Amendment),2010,Elected,Partisan,Increases mandatory retirement age for judges from 70 to 72.,Approved by full House 4/13/10. Approved by Senate Committee on Economic Expansion and Trade 4/14/10. Died on Senate floor.,0,Passed one chamber,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Selection,HB 542 (Constitutional Amendment),2010,Elected,Partisan,"Requires the nonpartisan election of Circuit, District, and all appellate court Judges.",Died in committee.,0,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Selection,HB 543,2014,Elected,Partisan,"ORIGINAL: Provides rebuttable presumption of judicial recusal where party, attorney, or law firm in case gave 25% of all contributions to judge's campaign. AMENDED: Replaces threshold with sliding scale: 10% for statewide appellate races, 15% for circuit court, 25% for district court",Approved as amended by full Senate 4/3/14. To Governor for approval.,1,Passed Legislature,,,,,,AL2014,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 547,2008,Elected,Partisan,Requires Supreme Court Associate Justices be elected by district (Chief Justice would remain elected statewide). Requires Court of Appeals and Court of Criminal Appeals Judges to be elected by district (currently statewide). Requires Circuit Judges to be elected by district within each circuit. Requires District Judges to be elected by district within each county.,In House Constitution and Elections committee,1,Introduced,,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Selection,HB 548,2009,Elected,Partisan,Provides for the nonpartisan election of candidates for state appellate judicial office and a corresponding special ballot for such elections.,Died when legislature adjourned 5/15/09.,0,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Selection,HB 55,2009,Elected,Partisan,"Provides for a $500 limitation on contributions for candidates for election to the Alabama Supreme Court, Alabama Court of Appeals, Alabama Court of Criminal Appeals, circuit courts, or district courts per election. Provides for increasing the allowed contribution amount based on the application of the consumer price index.",Died when legislature adjourned 5/15/09.,1,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Selection,HB 550,2012,Elected,Partisan,Prohibits members of the legislature from being appointed to judgeships within 2 years of their legislative service.,"In House Constitution, Campaigns and Elections Committee.",1,Introduced,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Qualification & Terms,HB 555,2013,Elected,Partisan,"Allows former appellate judges to serve as ""private judges"" for trial courts (currently only former trial judges may do so).",Approved by House Judiciary Committee 4/10/13.,0,Introduced,,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Other,HB 576,2017,Elected,Partisan,Requires legislative approval of Court of the Judiciary recommendations to remove judges from office. Alters Judicial Inquiry Commission and Court of the Judiciary membership and requires all members be confirmed by the Senate. Vacates current Commission membership.,"In House Constitution, Campaigns, and Elections Committee.",1,Introduced,Check on Courts power,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 602,2013,Elected,Partisan,Provides for nonpartisan election of circuit and district court judges.,"In House Constitution, Campaigns and Elections Committee.",0,Introduced,,,,,,AL2013,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 624,2008,Elected,Partisan,Requires nonpartisan election of candidates for Circuit and District Court judgeships.,In House Constitution and Elections committee,0,Introduced,,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Structure Changes,HB 65,2017,Elected,Partisan,"Creates Judicial Resources Allocation Commission. Requires Commission review districts/circuits most in need of judgeships annually. Permits Commission to reallocate judgeship made vacant due to death, resignation, etc.",See SB 90.,1,Introduced,,,,,,AL2017,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Qualification & Terms,HB 66,2009,Elected,Partisan,"Requires that persons elected or appointed to serve on the Supreme Court, Court of Civil Appeals, and Court of Criminal Appeals  have a combined total of 10 years or more of licensure to practice law. Requires persons serving as a circuit court judge have a combined total of five years of licensure to practice law. Requires persons serving as a district court judge have a combined total of three years of licensure to practice law.",Died when legislature adjourned 5/15/09.,1,Introduced,Qualifications,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
Alabama,AL,Selection,HB 660,2010,Elected,Partisan,Increases filing fees for judges seeking election/re-election.,Died in committee.,1,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Other,HB 660,2011,Elected,Partisan,Requires courts provide reasonable accommodations for jurors.,In House Judiciary Committee.,1,Introduced,Administration,,,,,AL2011,0.758027863,0.187,0.302,0.3,0,1,1,0,0.456027863,0.456027863
Alabama,AL,Qualification & Terms,HB 673,2015,Elected,Partisan,Increases number of year of practice of law in order to be judge: appellate courts increase from 10 to 15 years; Circuit Court increase from 5 to 12 years; District Court increase from 3 to 6 years.,Approved by House Judiciary Committee 5/26/2015.,1,Introduced,,,,,,AL2015,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 680,2010,Elected,Partisan,"Permits but does not require nonpartisan election of circuit and district court judges. Allows counties to ""opt in"" when a majority of circuit court judges submit a petition to their county commission.",Died in committee.,0,Introduced,,,,,,AL2010,0.704422769,0.187,0.302,0.3,0,1,1,0,0.402422769,0.402422769
Alabama,AL,Salary & Budget,HB 688,2012,Elected,Partisan,"Increases docket fees in all civil cases in the circuit and district courts excluding child support cases and in all criminal cases in the circuit, district, and municipal courts. Provides for distribution of the funds into State Judicial Administration Fund, Circuit Clerk's Judicial Administration Fund, and Presiding Circuit Judge's Judicial Administration Fund.",Approved by full Senate 5/16/12. House concurs with Senate amendments. To Governor for approval.,1,Passed Legislature,,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Selection,HB 690,2008,Elected,Partisan,Requires mandatory education and certification for municipal court clerks and municipal court magistrates. Requires those clerks and magistrates complete continuing education approved by the Administrative Office of Courts.,Approved by full House,0,Passed one chamber,,,,,,AL2008,0.704422769,0.5395,0.281,0.269,0,1,1,0,0.164922769,0.164922769
Alabama,AL,Rule Making Authority,HB 705,2012,Elected,Partisan,"Requires Supreme Court adopt rules to implement expedited civil 10 actions in cases where damages do not exceed $100,000.",In House Judiciary Committee.,1,Introduced,Administration,,,,,AL2012,0.78767523800000006,0.838,0.6105,0.749,0,0,0,0,0,0
Alabama,AL,Structure Changes,HB 718,2009,Elected,Partisan,"Authorizes the presiding judges of the judicial circuits to establish drug courts. Requires Administrative Office of Courts assist in planning, developing, and implementing drug courts.    ",Died when legislature adjourned 5/15/09.,0,Introduced,,,,,,AL2009,0.681880496,0.5395,0.281,0.269,0,1,1,0,0.142380496,0.142380496
